EndType,NewApp,Last,Office,Month,County,Year,Day,First,Date,EndDate,Duration,AppointingPresident,AppointingPresidentIndex,AppointingPG,AppointingPGIndex,DismissingPresident,DismissingPresidentIndex,DismissingPG,DismissingPGIndex,AppCongressionalElection,AppPresidentialElection,DisCongressionalElection,DisPresidentialElection
1,-1,Humphrey,MONTVALE,10,Coleman,1893,7,Mary,1893-10-07,1897-12-23,1538,Cleveland2,16,Wilson S. Bissell,35,McKinley,17,James A. Gary,37,64.9,0.9479167,55.2,0.863824
1,1,King,NATIONSVILLE,3,Coleman,1879,17,Geo. H.,1879-03-17,1879-09-16,183,Hayes,11,David M. Key,26,Hayes,11,David M. Key,26,76.4,1,76.4,1
0,1,Trowbridge,NIWOT,5,Coleman,1897,15,Wm. A.,1897-05-15,2/1/04,2452,McKinley,17,James A. Gary,37,Roosevelt1,19,Henry C. Payne,39,,,55.2,0.863824
0,1,Ward,NOVICE,9,Coleman,1884,29,Don W.,1884-09-29,1885-12-08,435,Arthur,13,Walter Q. Gresham,30,Cleveland1,14,William F. Vilas,32,98.9,1,90.2,0.9859579
0,0,Leonard,NOVICE,12,Coleman,1885,8,Wm. F.,1885-12-08,1891-02-24,1904,Cleveland1,14,William F. Vilas,32,Harrison,15,John Wanamaker,34,90.2,0.9859579,100,0.959
0,0,Ward,NOVICE,2,Coleman,1891,24,Ralph P.,1891-02-24,1892-01-26,336,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,100,0.959,100,0.959
0,0,Camp,NOVICE,1,Coleman,1892,26,Jas. F.,1892-01-26,1895-11-14,1388,Harrison,15,John Wanamaker,34,Cleveland2,16,William L. Wilson,36,100,0.959,57.1,0.9479167
0,0,Putman,NOVICE,11,Coleman,1895,14,Wm. J.,1895-11-14,1903-11-20,2927,Cleveland2,16,William L. Wilson,36,Roosevelt1,19,Henry C. Payne,39,57.1,0.9479167,55.2,0.863824
0,1,Averitt,OAK VALE,2,Coleman,1878,25,John C.,1878-02-25,1880-11-09,988,Hayes,11,David M. Key,26,Hayes,11,Horace Maynard,27,76.4,1,83.4,1
1,0,Henderson,OAK VALE,11,Coleman,1880,9,John H.,1880-11-09,1881-04-19,161,Hayes,11,Horace Maynard,27,Garfield,12,Thomas L. James,28,83.4,1,83.4,1
0,1,Lea,POCK,3,Coleman,1880,31,John H.,1880-03-31,1880-05-24,54,Hayes,11,David M. Key,26,Hayes,11,David M. Key,26,76.4,1,76.4,1
1,1,Jones,POTOSI,6,Coleman,1887,9,E. W.,1887-06-09,1888-11-19,529,Cleveland1,14,William F. Vilas,32,Cleveland1,14,Donald M. Dickinson,33,100,0.9859579,95.9,0.959
0,0,Cravens,RICH COFFEY,12,Coleman,1879,22,Arnold R.,1879-12-22,1880-05-11,141,Hayes,11,David M. Key,26,Hayes,11,David M. Key,26,76.4,1,76.4,1
0,0,Andrews,RICH COFFEY,5,Coleman,1880,11,Hardin,1880-05-11,1881-05-02,356,Hayes,11,David M. Key,26,Garfield,12,Thomas L. James,28,76.4,1,83.4,1
0,-1,Wainwright,ROCKWOOD,1,Coleman,1890,31,Mary A.,1890-01-31,1891-04-14,438,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,95.9,0.959,100,0.959
0,0,Shield,ROCKWOOD,4,Coleman,1891,14,Leonidius L.,1891-04-14,1892-11-30,596,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,100,0.959,64.9,0.9479167
0,0,Vise,ROCKWOOD,11,Coleman,1892,30,Amos F.,1892-11-30,1895-02-01,793,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,64.9,0.9479167,57.1,0.9479167
0,0,Vise,ROCKWOOD,2,Coleman,1895,1,Dussie,1895-02-01,1/27/04,3281,Cleveland2,16,Wilson S. Bissell,35,Roosevelt1,19,Henry C. Payne,39,57.1,0.9479167,55.2,0.863824
0,1,Walton,SANTA ANNA,4,Coleman,1879,7,Jacob C.,1879-04-07,1879-05-05,28,Hayes,11,David M. Key,26,Hayes,11,David M. Key,26,76.4,1,76.4,1
0,0,Brooks,SANTA ANNA,5,Coleman,1879,5,Willis C.,1879-05-05,1885-08-19,2298,Hayes,11,David M. Key,26,Cleveland1,14,William F. Vilas,32,76.4,1,90.2,0.9859579
0,0,Crosby,SANTA ANNA,8,Coleman,1885,19,Wm. J.,1885-08-19,1897-05-13,4285,Cleveland1,14,William F. Vilas,32,McKinley,17,James A. Gary,37,90.2,0.9859579,55.2,0.863824
0,0,Poe,SANTA ANNA,5,Coleman,1897,13,Laura M.,1897-05-13,8/25/15,6677,McKinley,17,James A. Gary,37,Wilson1,22,Albert S. Burleson,44,,,55.2,0.863824
0,1,Lowrie,SILVER VALLEY,5,Coleman,1891,9,John B.,1891-05-09,1899-08-04,3009,Harrison,15,John Wanamaker,34,McKinley,17,Charles Emory Smith,38,100,0.959,55.2,0.863824
0,1,Henderson,TALPA,11,Coleman,1886,2,R. Henry,1886-11-02,1888-07-26,632,Cleveland1,14,William F. Vilas,32,Cleveland1,14,Donald M. Dickinson,33,100,0.9859579,100,0.9859579
1,0,Irion,TALPA,7,Coleman,1888,26,Junius D.,1888-07-26,1888-11-27,124,Cleveland1,14,Donald M. Dickinson,33,Cleveland1,14,Donald M. Dickinson,33,100,0.9859579,95.9,0.959
0,2,Greenlee,TALPA,12,Coleman,1889,28,Jas. S.,1889-12-28,1895-01-23,1852,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,95.9,0.959,57.1,0.9479167
0,0,Troon,TALPA,1,Coleman,1895,23,John L.,1895-01-23,3/15/09,5164,Cleveland2,16,Wilson S. Bissell,35,Taft,21,Frank H. Hitchcock,43,57.1,0.9479167,55.2,0.863824
0,1,Taber,TRICKHAM,4,Coleman,1879,10,Theron M.,1879-04-10,1880-06-29,446,Hayes,11,David M. Key,26,Hayes,11,Horace Maynard,27,76.4,1,76.4,1
0,0,Walker,TRICKHAM,6,Coleman,1880,29,Howard D.,1880-06-29,1881-03-21,265,Hayes,11,Horace Maynard,27,Garfield,12,Thomas L. James,28,76.4,1,83.4,1
0,0,Featherstone,TRICKHAM,3,Coleman,1881,21,Chas. H.,1881-03-21,1883-01-30,680,Garfield,12,Thomas L. James,28,Arthur,13,Timothy O. Howe,29,83.4,1,98.9,1
0,0,Bridges,TRICKHAM,1,Coleman,1883,30,Robt. J.,1883-01-30,1883-12-26,330,Arthur,13,Timothy O. Howe,29,Arthur,13,Walter Q. Gresham,30,98.9,1,98.9,1
0,0,Hunter,TRICKHAM,12,Coleman,1883,26,Wm. J.,1883-12-26,1885-12-08,713,Arthur,13,Walter Q. Gresham,30,Cleveland1,14,William F. Vilas,32,98.9,1,90.2,0.9859579
0,0,Carr,TRICKHAM,12,Coleman,1885,8,W. H.,1885-12-08,1888-11-24,1082,Cleveland1,14,William F. Vilas,32,Cleveland1,14,Donald M. Dickinson,33,90.2,0.9859579,95.9,0.959
0,0,Carr,TRICKHAM,11,Coleman,1888,24,Clarence W.,1888-11-24,1894-07-31,2075,Cleveland1,14,Donald M. Dickinson,33,Cleveland2,16,Wilson S. Bissell,35,95.9,0.959,64.9,0.9479167
0,0,Henderson,TRICKHAM,7,Coleman,1894,31,Elsworth,1894-07-31,1895-01-08,161,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,Wilson S. Bissell,35,64.9,0.9479167,57.1,0.9479167
0,0,Stacy,TRICKHAM,1,Coleman,1895,8,Morgan J.,1895-01-08,1895-11-14,310,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,William L. Wilson,36,57.1,0.9479167,57.1,0.9479167
0,0,Page,TRICKHAM,11,Coleman,1895,14,Lafayette E.,1895-11-14,1901-03-16,1948,Cleveland2,16,William L. Wilson,36,McKinley,18,Charles Emory Smith,38,57.1,0.9479167,55.2,0.863824
1,-1,Lea,TYRO,5,Coleman,1880,24,John H.,1880-05-24,1881-03-02,282,Hayes,11,David M. Key,26,Hayes,11,Horace Maynard,27,76.4,1,83.4,1
0,1,Bills,VALE,6,Coleman,1883,13,J. W.,1883-06-13,1886-11-02,1238,Arthur,13,Walter Q. Gresham,30,Cleveland1,14,William F. Vilas,32,98.9,1,100,0.9859579
1,1,Cleveland,VALERA,11,Coleman,1886,13,Geo. P.,1886-11-13,1889-11-08,1091,Cleveland1,14,William F. Vilas,32,Harrison,15,John Wanamaker,34,100,0.9859579,95.9,0.959
0,1,Ashley,WOODY,1,Coleman,1894,16,Wm. P.,1894-01-16,1897-05-19,1219,Cleveland2,16,Wilson S. Bissell,35,McKinley,17,James A. Gary,37,64.9,0.9479167,55.2,0.863824
1,0,Riley,WOODY,5,Coleman,1897,19,Wiley T.,1897-05-19,1897-08-07,80,McKinley,17,James A. Gary,37,McKinley,17,James A. Gary,37,,,55.2,0.863824
0,1,Smith,ALEO,4,Collin,1895,13,Lemuel C.,1895-04-13,1898-07-16,1190,Cleveland2,16,William L. Wilson,36,McKinley,17,Charles Emory Smith,38,57.4,0.8360434,58.9,0.7605295
0,0,Moore,ALEO,7,Collin,1898,16,Wm. W.,1898-07-16,1899-01-19,187,McKinley,17,Charles Emory Smith,38,McKinley,17,Charles Emory Smith,38,,,58.9,0.7605295
0,0,Mountcastle,ALLEN,1,Collin,1880,8,Geo. C.,1880-01-08,1885-01-14,1833,Hayes,11,David M. Key,26,Arthur,13,Frank Hatton,31,78.3,0.903,100,0.8859833
0,0,Chesnutt,ALLEN,1,Collin,1885,14,Jas. H.,1885-01-14,1889-08-01,1660,Arthur,13,Frank Hatton,31,Harrison,15,John Wanamaker,34,100,0.8859833,85.6,0.8568569
0,0,Morris,ALLEN,8,Collin,1889,1,Robt. G.,1889-08-01,1890-02-04,187,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,85.6,0.8568569,85.6,0.8568569
0,0,Woodman,ALLEN,2,Collin,1890,4,Albert G.,1890-02-04,1891-10-13,616,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,85.6,0.8568569,77.5,0.8568569
0,0,Chapman,ALLEN,10,Collin,1891,13,Watson W.,1891-10-13,1893-09-05,693,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,77.5,0.8568569,67.6,0.8360434
0,0,Head,ALLEN,9,Collin,1893,5,John H.,1893-09-05,1897-08-06,1431,Cleveland2,16,Wilson S. Bissell,35,McKinley,17,James A. Gary,37,67.6,0.8360434,58.9,0.7605295
0,0,Chapman,ALLEN,8,Collin,1897,6,Watson W.,1897-08-06,3/18/13,5702,McKinley,17,James A. Gary,37,Wilson1,22,Albert S. Burleson,44,,,58.9,0.7605295
0,1,Moreland,ALTOGA,1,Collin,1889,4,Jas. A.,1889-01-04,1890-05-02,483,Cleveland1,14,Donald M. Dickinson,33,Harrison,15,John Wanamaker,34,85.6,0.8568569,85.6,0.8568569
0,0,Rucker,ALTOGA,5,Collin,1890,2,Clarence M.,1890-05-02,1893-12-05,1313,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,85.6,0.8568569,67.6,0.8360434
0,0,Whitson,ALTOGA,12,Collin,1893,5,Welborn,1893-12-05,1896-08-12,981,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,William L. Wilson,36,67.6,0.8360434,57.4,0.8360434
0,0,Rucker,ALTOGA,8,Collin,1896,12,Wm. H.,1896-08-12,1898-03-09,574,Cleveland2,16,William L. Wilson,36,McKinley,17,James A. Gary,37,57.4,0.8360434,58.9,0.7605295
0,0,Dunn,ALTOGA,3,Collin,1898,9,Jas. C.,1898-03-09,1902-03-05,1456,McKinley,17,James A. Gary,37,Roosevelt1,19,Henry C. Payne,39,,,58.9,0.7605295
0,1,Barnett,ANNA,5,Collin,1883,29,Wm. Y.,1883-05-29,1885-01-13,595,Arthur,13,Walter Q. Gresham,30,Arthur,13,Frank Hatton,31,84,0.9116379,100,0.8859833
0,0,Greer,ANNA,1,Collin,1885,13,John F.,1885-01-13,1889-06-10,1609,Arthur,13,Frank Hatton,31,Harrison,15,John Wanamaker,34,100,0.8859833,85.6,0.8568569
0,0,Harner,ANNA,6,Collin,1889,10,Geo. W.,1889-06-10,1893-07-10,1491,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,85.6,0.8568569,67.6,0.8360434
0,0,Strother,ANNA,7,Collin,1893,10,Geo. E.,1893-07-10,1897-07-21,1472,Cleveland2,16,Wilson S. Bissell,35,McKinley,17,James A. Gary,37,67.6,0.8360434,58.9,0.7605295
0,0,Robinson,ANNA,7,Collin,1897,21,Jos. M.,1897-07-21,3/5/12,5340,McKinley,17,James A. Gary,37,Taft,21,Frank H. Hitchcock,43,,,58.9,0.7605295
1,1,Allen,BISHOP,6,Collin,1893,30,Geo. E.,1893-06-30,1893-12-28,181,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,Wilson S. Bissell,35,67.6,0.8360434,67.6,0.8360434
0,1,Bounds,BLACK HILL,2,Collin,1879,24,Benj. H.,1879-02-24,1881-08-03,891,Hayes,11,David M. Key,26,Garfield,12,Thomas L. James,28,78.3,0.903,88.4,0.9116379
0,0,Ford,BLACK HILL,8,Collin,1881,3,Gaston T.,1881-08-03,1881-12-19,138,Garfield,12,Thomas L. James,28,Arthur,13,Thomas L. James,28,88.4,0.9116379,88.4,0.9116379
1,0,Jones,BLACK HILL,12,Collin,1881,19,J. E.,1881-12-19,1882-09-29,284,Arthur,13,Thomas L. James,28,Arthur,13,Timothy O. Howe,29,88.4,0.9116379,88.4,0.9116379
0,0,Abernathy,BLUE RIDGE,2,Collin,1880,25,Zach.,1880-02-25,1881-05-16,446,Hayes,11,David M. Key,26,Garfield,12,Thomas L. James,28,78.3,0.903,88.4,0.9116379
0,0,Long,BLUE RIDGE,5,Collin,1881,16,Isham W.,1881-05-16,1885-12-31,1690,Garfield,12,Thomas L. James,28,Cleveland1,14,William F. Vilas,32,88.4,0.9116379,100,0.8859833
0,0,Worden,BLUE RIDGE,12,Collin,1885,31,Gabriel F.,1885-12-31,1890-03-26,1546,Cleveland1,14,William F. Vilas,32,Harrison,15,John Wanamaker,34,100,0.8859833,85.6,0.8568569
0,0,Holt,BLUE RIDGE,3,Collin,1890,26,Emerson E.,1890-03-26,1892-11-30,980,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,85.6,0.8568569,67.6,0.8360434
0,0,Webb,BLUE RIDGE,11,Collin,1892,30,Jos. E.,1892-11-30,1894-01-26,422,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,67.6,0.8360434,67.6,0.8360434
0,0,Grounds,BLUE RIDGE,1,Collin,1894,26,Thos. J.,1894-01-26,1895-08-21,572,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,William L. Wilson,36,67.6,0.8360434,57.4,0.8360434
0,0,Caloway,BLUE RIDGE,8,Collin,1895,21,Geo. H.,1895-08-21,11/9/09,5193,Cleveland2,16,William L. Wilson,36,Taft,21,Frank H. Hitchcock,43,57.4,0.8360434,58.9,0.7605295
0,1,Satterwhite,CALLIS,2,Collin,1891,25,Wm. C.,1891-02-25,1892-04-04,404,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,77.5,0.8568569,77.5,0.8568569
0,0,Norwood,CALLIS,4,Collin,1892,4,W. J.,1892-04-04,1894-01-12,648,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,77.5,0.8568569,67.6,0.8360434
0,0,Hope,CALLIS,1,Collin,1894,12,Amos D.,1894-01-12,1895-02-28,412,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,Wilson S. Bissell,35,67.6,0.8360434,57.4,0.8360434
0,0,Satterwhite,CALLIS,2,Collin,1895,28,Wm. C.,1895-02-28,1897-07-31,884,Cleveland2,16,Wilson S. Bissell,35,McKinley,17,James A. Gary,37,57.4,0.8360434,58.9,0.7605295
0,0,Rigney,CALLIS,7,Collin,1897,31,Ferdinand,1897-07-31,1898-09-14,410,McKinley,17,James A. Gary,37,McKinley,17,Charles Emory Smith,38,,,58.9,0.7605295
1,0,Brock,CALLIS,9,Collin,1898,14,Jas. W.,1898-09-14,3/31/04,2024,McKinley,17,Charles Emory Smith,38,Roosevelt1,19,Henry C. Payne,39,,,58.9,0.7605295
0,1,Mulkey,CELINA,2,Collin,1881,28,John T.,1881-02-28,1881-06-30,122,Hayes,11,Horace Maynard,27,Garfield,12,Thomas L. James,28,88.4,0.9116379,88.4,0.9116379
0,0,Burruss,CELINA,6,Collin,1881,30,Wm. C.,1881-06-30,1882-08-03,399,Garfield,12,Thomas L. James,28,Arthur,13,Timothy O. Howe,29,88.4,0.9116379,88.4,0.9116379
0,0,Carnes,CELINA,8,Collin,1882,3,Alva W.,1882-08-03,1883-02-27,208,Arthur,13,Timothy O. Howe,29,Arthur,13,Timothy O. Howe,29,88.4,0.9116379,84,0.9116379
0,0,Mulkey,CELINA,2,Collin,1883,27,John T.,1883-02-27,1883-10-26,241,Arthur,13,Timothy O. Howe,29,Arthur,13,Walter Q. Gresham,30,84,0.9116379,84,0.9116379
0,0,Pigg,CELINA,10,Collin,1883,26,Geo. T.,1883-10-26,1902-01-25,6665,Arthur,13,Walter Q. Gresham,30,Roosevelt1,19,Henry C. Payne,39,84,0.9116379,58.9,0.7605295
1,1,Bryan,CHAMBERSVILLE,3,Collin,1894,6,Jacob M.,1894-03-06,1903-12-31,3586,Cleveland2,16,Wilson S. Bissell,35,Roosevelt1,19,Henry C. Payne,39,67.6,0.8360434,58.9,0.7605295
0,1,Osborne,CLIMAX,5,Collin,1895,25,John G.,1895-05-25,1897-07-21,788,Cleveland2,16,William L. Wilson,36,McKinley,17,James A. Gary,37,57.4,0.8360434,58.9,0.7605295
0,0,Caldwell,CLIMAX,7,Collin,1897,21,Cora C.,1897-07-21,1898-09-14,420,McKinley,17,James A. Gary,37,McKinley,17,Charles Emory Smith,38,,,58.9,0.7605295
1,0,Fagala,CLIMAX,9,Collin,1898,14,Benj. D.,1898-09-14,1901-11-30,1172,McKinley,17,Charles Emory Smith,38,Roosevelt1,19,Charles Emory Smith,38,,,58.9,0.7605295
0,1,Cope,COPEVILLE,6,Collin,1878,5,John M.,1878-06-05,1880-05-03,698,Hayes,11,David M. Key,26,Hayes,11,David M. Key,26,78.3,0.903,78.3,0.903
0,0,Pool,COPEVILLE,5,Collin,1880,3,Geo. W.,1880-05-03,1881-02-15,288,Hayes,11,David M. Key,26,Hayes,11,Horace Maynard,27,78.3,0.903,88.4,0.9116379
0,0,Cope,COPEVILLE,2,Collin,1881,15,Willey L.,1881-02-15,1883-11-12,1000,Hayes,11,Horace Maynard,27,Arthur,13,Walter Q. Gresham,30,88.4,0.9116379,84,0.9116379
0,0,McMinn,COPEVILLE,11,Collin,1883,12,Milton P.,1883-11-12,1888-11-26,1841,Arthur,13,Walter Q. Gresham,30,Cleveland1,14,Donald M. Dickinson,33,84,0.9116379,85.6,0.8568569
0,0,Blount,COPEVILLE,11,Collin,1888,26,Ed. E.,1888-11-26,1894-01-26,1887,Cleveland1,14,Donald M. Dickinson,33,Cleveland2,16,Wilson S. Bissell,35,85.6,0.8568569,67.6,0.8360434
0,0,Lockhart,COPEVILLE,1,Collin,1894,26,John F.,1894-01-26,1895-06-17,507,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,William L. Wilson,36,67.6,0.8360434,57.4,0.8360434
0,0,Jones,COPEVILLE,6,Collin,1895,17,Alex. B.,1895-06-17,11/28/05,3816,Cleveland2,16,William L. Wilson,36,Roosevelt2,20,George B. Cortelyou,41,57.4,0.8360434,58.9,0.7605295
0,1,Morrow,CULLEOKA,5,Collin,1893,29,John P.,1893-05-29,1895-11-09,894,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,William L. Wilson,36,67.6,0.8360434,57.4,0.8360434
0,0,Cosby,CULLEOKA,11,Collin,1895,9,John H.,1895-11-09,1/19/05,3358,Cleveland2,16,William L. Wilson,36,Roosevelt1,19,Robert J. Wynne,40,57.4,0.8360434,58.9,0.7605295
1,1,Webster,DESERT,1,Collin,1893,7,Wm. A.,1893-01-07,12/15/04,4359,Harrison,15,John Wanamaker,34,Roosevelt1,19,Robert J. Wynne,40,67.6,0.8360434,58.9,0.7605295
0,1,McClure,DONNA,10,Collin,1897,9,Jas. A.,1897-10-09,1898-09-28,354,McKinley,17,James A. Gary,37,McKinley,17,Charles Emory Smith,38,,,58.9,0.7605295
1,0,Huebsch,DONNA,9,Collin,1898,28,Andrew,1898-09-28,1903-08-31,1797,McKinley,17,Charles Emory Smith,38,Roosevelt1,19,Henry C. Payne,39,,,58.9,0.7605295
1,1,Grimes,EMPIRE,1,Collin,1885,27,John T.,1885-01-27,1888-04-25,1184,Arthur,13,Frank Hatton,31,Cleveland1,14,Donald M. Dickinson,33,100,0.8859833,36.3,0.8859833
0,1,Sneed,ENGLEMAN,6,Collin,1886,21,Robt. S.,1886-06-21,1887-10-12,478,Cleveland1,14,William F. Vilas,32,Cleveland1,14,William F. Vilas,32,100,0.8859833,36.3,0.8859833
1,0,Stratton,ENGLEMAN,10,Collin,1887,12,James E.,1887-10-12,1897-08-06,3586,Cleveland1,14,William F. Vilas,32,McKinley,17,James A. Gary,37,36.3,0.8859833,58.9,0.7605295
0,1,Bristol,ERUDIA,6,Collin,1895,17,Wm. H.,1895-06-17,1900-04-30,1778,Cleveland2,16,William L. Wilson,36,McKinley,17,Charles Emory Smith,38,57.4,0.8360434,58.9,0.7605295
0,0,Murchison,FARMERSVILLE,2,Collin,1880,10,Rora,1880-02-10,1883-11-26,1385,Hayes,11,David M. Key,26,Arthur,13,Walter Q. Gresham,30,78.3,0.903,84,0.9116379
0,0,Farish,FARMERSVILLE,11,Collin,1883,26,Larkin B.,1883-11-26,1888-12-18,1849,Arthur,13,Walter Q. Gresham,30,Cleveland1,14,Donald M. Dickinson,33,84,0.9116379,85.6,0.8568569
0,0,Farish,FARMERSVILLE,12,Collin,1888,18,Mary E.,1888-12-18,1896-06-10,2731,Cleveland1,14,Donald M. Dickinson,33,Cleveland2,16,William L. Wilson,36,85.6,0.8568569,57.4,0.8360434
0,0,Chapman,FARMERSVILLE,6,Collin,1896,10,Wm. H.,1896-06-10,1899-02-15,980,Cleveland2,16,William L. Wilson,36,McKinley,17,Charles Emory Smith,38,57.4,0.8360434,58.9,0.7605295
0,1,Peterson,FAY,6,Collin,1882,8,Knud M.,1882-06-08,1886-10-25,1600,Arthur,13,Timothy O. Howe,29,Cleveland1,14,William F. Vilas,32,88.4,0.9116379,100,0.8859833
1,1,Ellis,FAYBURG,11,Collin,1893,6,Geo. W.,1893-11-06,1901-11-30,2945,Cleveland2,16,Wilson S. Bissell,35,Roosevelt1,19,Charles Emory Smith,38,67.6,0.8360434,58.9,0.7605295
0,1,Griffith,FAYBURGH,3,Collin,1884,4,Jas. G.,1884-03-04,1885-01-20,322,Arthur,13,Walter Q. Gresham,30,Arthur,13,Frank Hatton,31,84,0.9116379,100,0.8859833
0,0,Patterson,FAYBURGH,1,Collin,1885,20,Wm.,1885-01-20,1885-08-31,223,Arthur,13,Frank Hatton,31,Cleveland1,14,William F. Vilas,32,100,0.8859833,100,0.8859833
0,0,Thompson,FAYBURGH,8,Collin,1885,31,Alfred M.,1885-08-31,1886-08-17,351,Cleveland1,14,William F. Vilas,32,Cleveland1,14,William F. Vilas,32,100,0.8859833,100,0.8859833
0,0,Bristol,FAYBURGH,8,Collin,1886,17,Wm. H.,1886-08-17,1887-08-29,377,Cleveland1,14,William F. Vilas,32,Cleveland1,14,William F. Vilas,32,100,0.8859833,36.3,0.8859833
0,0,Lindsay,FAYBURGH,8,Collin,1887,29,Alex H.,1887-08-29,1887-12-23,116,Cleveland1,14,William F. Vilas,32,Cleveland1,14,William F. Vilas,32,36.3,0.8859833,36.3,0.8859833
0,0,Stinebaugh,FAYBURGH,12,Collin,1887,23,John,1887-12-23,1888-04-28,127,Cleveland1,14,William F. Vilas,32,Cleveland1,14,Donald M. Dickinson,33,36.3,0.8859833,36.3,0.8859833
0,0,Brown,FAYBURGH,4,Collin,1888,28,Silas M.,1888-04-28,1888-11-25,211,Cleveland1,14,Donald M. Dickinson,33,Cleveland1,14,Donald M. Dickinson,33,36.3,0.8859833,85.6,0.8568569
0,0,McDonald,FAYBURGH,11,Collin,1888,25,Robt. B.,1888-11-25,1890-02-15,447,Cleveland1,14,Donald M. Dickinson,33,Harrison,15,John Wanamaker,34,85.6,0.8568569,85.6,0.8568569
0,0,Miller,FAYBURGH,2,Collin,1890,15,Lewis L.,1890-02-15,1891-01-17,336,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,85.6,0.8568569,77.5,0.8568569
0,0,Lindsay,FAYBURGH,1,Collin,1891,17,Nelson P.,1891-01-17,1893-11-06,1024,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,77.5,0.8568569,67.6,0.8360434
0,1,Reese,FONCINE,2,Collin,1895,18,Rupert F.,1895-02-18,1901-02-08,2181,Cleveland2,16,Wilson S. Bissell,35,McKinley,17,Charles Emory Smith,38,57.4,0.8360434,58.9,0.7605295
0,0,Wilson,FRANKFORD,12,Collin,1887,21,Willis,1887-12-21,1888-01-19,29,Cleveland1,14,William F. Vilas,32,Cleveland1,14,Donald M. Dickinson,33,36.3,0.8859833,36.3,0.8859833
0,0,Phillip,FRANKFORD,1,Collin,1888,19,Seaborn M.,1888-01-19,1893-05-05,1933,Cleveland1,14,Donald M. Dickinson,33,Cleveland2,16,Wilson S. Bissell,35,36.3,0.8859833,67.6,0.8360434
0,0,Jones,FRANKFORD,5,Collin,1893,5,Wm. J.,1893-05-05,1897-12-11,1681,Cleveland2,16,Wilson S. Bissell,35,McKinley,17,James A. Gary,37,67.6,0.8360434,58.9,0.7605295
0,0,Ritchie,FRANKFORD,12,Collin,1897,11,Robt. L.,1897-12-11,1902-09-30,1753,McKinley,17,James A. Gary,37,Roosevelt1,19,Henry C. Payne,39,,,58.9,0.7605295
0,1,Jones,GRAYBILL,6,Collin,1881,14,Garland P.,1881-06-14,1885-01-05,1301,Garfield,12,Thomas L. James,28,Arthur,13,Frank Hatton,31,88.4,0.9116379,100,0.8859833
0,0,Fogg,GRAYBILL,1,Collin,1885,5,Washington P.,1885-01-05,1891-01-28,2214,Arthur,13,Frank Hatton,31,Harrison,15,John Wanamaker,34,100,0.8859833,77.5,0.8568569
0,0,Holcomb,GRAYBILL,1,Collin,1891,28,Geo. W.,1891-01-28,1903-11-20,4678,Harrison,15,John Wanamaker,34,Roosevelt1,19,Henry C. Payne,39,77.5,0.8568569,58.9,0.7605295
0,1,Rollins,HANCOCK,7,Collin,1880,21,Henry M.,1880-07-21,1880-08-18,28,Hayes,11,Horace Maynard,27,Hayes,11,Horace Maynard,27,78.3,0.903,78.3,0.903
1,0,Bickley,HANCOCK,8,Collin,1880,18,Marion T.,1880-08-18,1881-09-29,407,Hayes,11,Horace Maynard,27,Arthur,13,Thomas L. James,28,78.3,0.903,88.4,0.9116379
0,1,Bailey,HICKMAN,3,Collin,1894,29,Thos. A.,1894-03-29,1897-02-09,1048,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,William L. Wilson,36,67.6,0.8360434,58.9,0.7605295
0,0,Striplin,HICKMAN,2,Collin,1897,9,Fox,1897-02-09,1897-07-31,172,Cleveland2,16,William L. Wilson,36,McKinley,17,James A. Gary,37,,,58.9,0.7605295
0,0,Johnson,HICKMAN,7,Collin,1897,31,Chas. H.,1897-07-31,1899-01-26,544,McKinley,17,James A. Gary,37,McKinley,17,Charles Emory Smith,38,,,58.9,0.7605295
